Iteration  0 , Training  0   1
Iteration  233 , Training  1   1
Iteration  233 , Training  1   0
Iteration  233 , Training  0   0
Iteration  233 , Training  0   1
Iteration  234 , Training  0   0
Iteration  234 , Training  0   1
Iteration  234 , Training  1   0
Iteration  234 , Training  1   1
Iteration  235 , Training  1   0
Iteration  235 , Training  1   1
Iteration  235 , Training  0   0
Iteration  235 , Training  0   1
Iteration  236 , Training  0   1
Iteration  236 , Training  1   0
Iteration  236 , Training  1   1
Iteration  236 , Training  0   0
Iteration  237 , Training  1   1
Iteration  237 , Training  0   1
Iteration  237 , Training  0   0
Iteration  237 , Training  1   0
Iteration  238 , Training  0   1
Iteration  238 , Training  0   0
Iteration  238 , Training  1   1
Iteration  238 , Training  1   0
Iteration  239 , Training  1   1
Iteration  239 , Training  0   1
Iteration  239 , Training  0   0
Iteration  239 , Training  1   0
Iteration  240 , Training  0   0
Iteration  240 , Training  1   0
Iteration  240 , Training  1   1
Iteration  240 , Training  0   1
Iteration  241 , Training  1   0
Iteration  241 , Training  1   1
Iteration  241 , Training  0   0
Iteration  241 , Training  0   1
Iteration  242 , Training  0   1
Iteration  242 , Training  1   0
Iteration  242 , Training  1   1
Iteration  242 , Training  0   0
Iteration  243 , Training  1   0
Iteration  243 , Training  0   0
Iteration  243 , Training  1   1
Iteration  243 , Training  0   1
Iteration  244 , Training  0   0
Iteration  244 , Training  0   1
Iteration  244 , Training  1   0
Iteration  244 , Training  1   1
Iteration  245 , Training  1   1
Iteration  245 , Training  0   1
Iteration  245 , Training  1   0
Iteration  245 , Training  0   0
Iteration  246 , Training  0   1
Iteration  246 , Training  1   1
Iteration  246 , Training  0   0
Iteration  246 , Training  1   0
Iteration  247 , Training  0   1
Iteration  247 , Training  1   0
Iteration  247 , Training  0   0
Iteration  247 , Training  1   1
Iteration  248 , Training  1   0
Iteration  248 , Training  1   1
Iteration  248 , Training  0   0
Iteration  248 , Training  0   1
Iteration  249 , Training  0   0
Iteration  249 , Training  0   1
Iteration  249 , Training  1   1
Iteration  249 , Training  1   0
Iteration  250 , Training  1   1
Iteration  250 , Training  0   1
Iteration  250 , Training  1   0
Iteration  250 , Training  0   0
Iteration  251 , Training  1   0
Iteration  251 , Training  0   0
Iteration  251 , Training  1   1
Iteration  251 , Training  0   1
Iteration  252 , Training  1   1
Iteration  252 , Training  1   0
Iteration  252 , Training  0   0
Iteration  252 , Training  0   1
Iteration  253 , Training  0   0
Iteration  253 , Training  1   1
Iteration  253 , Training  1   0
Iteration  253 , Training  0   1
Iteration  254 , Training  0   0
Iteration  254 , Training  1   0
Iteration  254 , Training  0   1
Iteration  254 , Training  1   1
Iteration  255 , Training  1   0
Iteration  255 , Training  0   1
Iteration  255 , Training  0   0
Iteration  255 , Training  1   1
Iteration  256 , Training  0   0
Iteration  256 , Training  1   0
Iteration  256 , Training  1   1
Iteration  256 , Training  0   1
Iteration  257 , Training  0   0
Iteration  257 , Training  0   1
Iteration  257 , Training  1   1
Iteration  257 , Training  1   0
Iteration  258 , Training  1   1
Iteration  258 , Training  0   1
Iteration  258 , Training  1   0
Iteration  258 , Training  0   0
Iteration  259 , Training  1   1
Iteration  259 , Training  0   0
Iteration  259 , Training  0   1
Iteration  259 , Training  1   0
Iteration  260 , Training  0   1
Iteration  260 , Training  1   1
Iteration  260 , Training  1   0
Iteration  260 , Training  0   0
Iteration  261 , Training  0   1
Iteration  261 , Training  1   0
Iteration  261 , Training  0   0
Iteration  261 , Training  1   1
Iteration  262 , Training  0   1
Iteration  262 , Training  0   0
Iteration  262 , Training  1   1
Iteration  262 , Training  1   0
Iteration  263 , Training  0   0
Iteration  263 , Training  1   1
Iteration  263 , Training  1   0
Iteration  263 , Training  0   1
Iteration  264 , Training  1   1
Iteration  264 , Training  0   0
Iteration  264 , Training  1   0
Iteration  264 , Training  0   1
Iteration  265 , Training  1   0
Iteration  265 , Training  1   1
Iteration  265 , Training  0   1
Iteration  265 , Training  0   0
Iteration  266 , Training  1   1
Iteration  266 , Training  0   0
Iteration  266 , Training  1   0
Iteration  266 , Training  0   1
Iteration  267 , Training  1   0
Iteration  267 , Training  0   1
Iteration  267 , Training  0   0
Iteration  267 , Training  1   1
Iteration  268 , Training  0   0
Iteration  268 , Training  0   1
Iteration  268 , Training  1   0
Iteration  268 , Training  1   1
Iteration  269 , Training  1   1
Iteration  269 , Training  1   0
Iteration  269 , Training  0   1
Iteration  269 , Training  0   0
Iteration  270 , Training  1   0
Iteration  270 , Training  1   1
Iteration  270 , Training  0   0
Iteration  270 , Training  0   1
Iteration  271 , Training  0   1
Iteration  271 , Training  1   1
Iteration  271 , Training  1   0
Iteration  271 , Training  0   0
Iteration  272 , Training  0   0
Iteration  272 , Training  1   1
Iteration  272 , Training  1   0
Iteration  272 , Training  0   1
Iteration  273 , Training  0   0
Iteration  273 , Training  1   1
Iteration  273 , Training  0   1
Iteration  273 , Training  1   0
Iteration  274 , Training  0   1
Iteration  274 , Training  0   0
Iteration  274 , Training  1   1
Iteration  274 , Training  1   0
Iteration  275 , Training  1   0
Iteration  275 , Training  0   1
Iteration  275 , Training  0   0
Iteration  275 , Training  1   1
Iteration  276 , Training  1   0
Iteration  276 , Training  1   1
Iteration  276 , Training  0   1
Iteration  276 , Training  0   0
Iteration  277 , Training  0   0
Iteration  277 , Training  1   1
Iteration  277 , Training  1   0
Iteration  277 , Training  0   1
Iteration  278 , Training  1   0
Iteration  278 , Training  0   1
Iteration  278 , Training  1   1
Iteration  278 , Training  0   0
Iteration  279 , Training  1   1
Iteration  279 , Training  0   1
Iteration  279 , Training  0   0
Iteration  279 , Training  1   0
Iteration  280 , Training  1   0
Iteration  280 , Training  0   0
Iteration  280 , Training  1   1
Iteration  280 , Training  0   1
Iteration  281 , Training  0   1
Iteration  281 , Training  1   1
Iteration  281 , Training  1   0
Iteration  281 , Training  0   0
Iteration  282 , Training  0   1
Iteration  282 , Training  1   1
Iteration  282 , Training  1   0
Iteration  282 , Training  0   0
Iteration  283 , Training  1   1
Iteration  283 , Training  1   0
Iteration  283 , Training  0   0
Iteration  283 , Training  0   1
Iteration  284 , Training  0   1
Iteration  284 , Training  1   0
Iteration  284 , Training  1   1
Iteration  284 , Training  0   0
Iteration  285 , Training  0   0
Iteration  285 , Training  1   0
Iteration  285 , Training  0   1
Iteration  285 , Training  1   1
Iteration  286 , Training  1   1
Iteration  286 , Training  0   0
Iteration  286 , Training  0   1
Iteration  286 , Training  1   0
Iteration  287 , Training  0   0
Iteration  287 , Training  1   0
Iteration  287 , Training  0   1
Iteration  287 , Training  1   1
Iteration  288 , Training  1   0
Iteration  288 , Training  1   1
Iteration  288 , Training  0   1
Iteration  288 , Training  0   0
Iteration  289 , Training  1   1
Iteration  289 , Training  1   0
Iteration  289 , Training  0   0
Iteration  289 , Training  0   1
Iteration  290 , Training  1   0
Iteration  290 , Training  0   0
Iteration  290 , Training  1   1
Iteration  290 , Training  0   1
Iteration  291 , Training  1   0
Iteration  291 , Training  1   1
Iteration  291 , Training  0   0
Iteration  291 , Training  0   1
Iteration  292 , Training  0   1
Iteration  292 , Training  1   0
Iteration  292 , Training  1   1
Iteration  292 , Training  0   0
Iteration  293 , Training  1   0
Iteration  293 , Training  1   1
Iteration  293 , Training  0   0
Iteration  293 , Training  0   1
Iteration  294 , Training  0   0
Iteration  294 , Training  1   0
Iteration  294 , Training  1   1
Iteration  294 , Training  0   1
Iteration  295 , Training  1   0
Iteration  295 , Training  0   1
Iteration  295 , Training  1   1
Iteration  295 , Training  0   0
Iteration  296 , Training  0   1
Iteration  296 , Training  0   0
Iteration  296 , Training  1   1
Iteration  296 , Training  1   0
Iteration  297 , Training  1   0
Iteration  297 , Training  0   0
Iteration  297 , Training  0   1
Iteration  297 , Training  1   1
Iteration  298 , Training  0   0
Iteration  298 , Training  1   1
Iteration  298 , Training  0   1
Iteration  298 , Training  1   0
Iteration  299 , Training  0   1
Iteration  299 , Training  1   0
Iteration  299 , Training  1   1
Iteration  299 , Training  0   0
Printing Learned Coefficients ..
Input  to Hidden Inhibitory   =  <synapses_2.w: array([-0.00453173, -0.00462427, -0.00381723, ..., -0.00425642,
       -0.0022147 , -0.00309454])>
Input  to Hidden Excitatory 1 =  <synapses.w: array([  6.03050189e-04,   2.30298600e-03,   5.34141745e-04,
         3.45020251e-03,   2.56791875e-03,   2.15952720e-03,
         4.43369746e-03,   2.62870588e-03,   4.83897638e-03,
         2.29081268e-03,   3.56394363e-03,   9.11546221e-04,
         1.19142145e-05,   2.99697195e-03,   6.06921237e-04,
         3.51524559e-03,   2.55120077e-03,   1.20780342e-03,
         4.05498846e-03,   4.14415554e-03,   1.52381844e-05,
         4.63626185e-03,   4.79905287e-03,   1.20949684e-03,
         2.38309902e-03,   3.72999870e-03,   4.43701440e-03,
         3.64638541e-03,   3.42182890e-03,   7.32488593e-04,
         3.52007050e-03,   2.53464792e-03,   1.11891042e-03,
         4.07392903e-03,   1.48869719e-04,   1.40567282e-03,
         1.07055936e-03,   4.33222606e-03,   1.22279938e-03,
         4.03326473e-03,   1.30751465e-04,   9.13502807e-04,
         3.94905422e-03,   2.12472377e-03,   1.07022745e-03,
         8.83986120e-04,   1.99164237e-03,   3.68558462e-04,
         3.09828716e-03,   1.99358221e-03,   1.95621731e-03,
         2.83772176e-03,   5.41080831e-04,   4.31771501e-03,
         3.33529904e-04,   2.61873120e-03,   2.68832534e-03,
         2.93980119e-03,   2.16863956e-03,   4.28624702e-03,
         2.00037153e-03,   2.51813028e-03,   2.62396249e-03,
         1.43288518e-03,   3.68819821e-04,   3.00033243e-03,
         3.53147647e-03,   4.03399502e-03,   6.79853668e-04,
         9.96852576e-04,   3.89092212e-03,   2.83671998e-03,
         5.20822060e-04,   4.31437823e-03,   3.40713576e-03,
         2.99114989e-04,   6.17767784e-04,   3.33171232e-03,
         3.63297282e-03,   6.59419745e-05,   9.86619749e-04,
         4.93730985e-03,   4.84416652e-03,   6.77002397e-04,
         3.66809807e-03,   3.55874521e-03,   4.44935887e-03,
         1.77238050e-04,   2.21728621e-03,   1.86916940e-03,
         4.82481534e-03,   3.36054105e-03,   3.67737723e-03,
         4.82595728e-03,   3.04008859e-03,   1.88764545e-03,
         2.17605566e-03,   2.39628201e-03,   5.92760126e-04,
         2.57930690e-03,   3.81836954e-03,   4.04374420e-03,
         3.05084612e-04,   2.52969256e-03,   1.44532636e-03,
         2.61127277e-03,   2.93957485e-03,   9.79518495e-04,
         2.26440864e-03,   4.21439067e-03,   3.01569320e-03,
         7.71924413e-04,   1.45522060e-03,   3.25078333e-03,
         9.39444192e-04,   2.51328826e-03,   4.42041656e-03,
         4.95018406e-03,   2.44980097e-03,   7.83086577e-04,
         2.08985759e-03,   4.43744226e-03,   1.05666065e-03,
         1.60896782e-03,   4.31140127e-03,   3.61223640e-03,
         4.67462029e-04,   3.18752392e-03,   1.73634923e-03,
         9.84964712e-04,   4.95052184e-03,   3.27590541e-03,
         1.48344874e-03,   3.46322976e-03,   4.74048565e-03,
         2.90471113e-03,   4.61368083e-03,   1.97169158e-03,
         1.64594150e-03,   4.43001426e-03,   3.27210233e-03,
         8.02218403e-04,   2.71634623e-03,   1.95692480e-03,
         1.33344320e-03,   3.96491706e-03,   3.73624354e-03,
         1.86650530e-03,   3.82882445e-03,   1.05819826e-03,
         3.48704348e-03,   2.43944177e-03,   1.99559821e-03,
         5.52933754e-04,   3.15383590e-03,   4.07115307e-03,
         3.79156976e-03,   3.59978075e-03,   4.94635586e-04,
         2.42870606e-04,   4.93665957e-03,   2.46102435e-03,
         1.48961002e-04,   5.13668995e-04,   4.74555547e-03,
         3.26360369e-03,   1.78439595e-03,   5.83922233e-04,
         2.97695995e-03,   3.20882827e-03,   4.47060811e-03,
         3.57659985e-03,   1.25196376e-03,   3.48189304e-03,
         2.50976224e-03,   2.64263195e-03,   3.86811017e-03,
         1.76518010e-03,   2.74876501e-03,   4.30873832e-03,
         3.28254214e-03,   4.27920592e-03,   3.02509784e-03,
         3.33079474e-03,   3.43960267e-03,   1.77301712e-03,
         2.78932953e-03,   3.89984239e-03,   4.77471068e-03,
         3.39914264e-03,   2.69182168e-03,   4.67393262e-03,
         1.39375357e-03,   3.62088013e-03,   4.37532757e-03,
         4.21893764e-03,   2.06641321e-03,   4.73458291e-04,
         4.67245316e-03,   9.48662365e-04,   3.19113572e-03,
         2.55517139e-04,   3.04366896e-03,   2.03244822e-03,
         5.82925631e-04,   4.87594893e-03,   3.15436964e-03,
         4.73705802e-03,   4.11154143e-03,   1.08325792e-03,
         5.55887984e-05,   3.95785967e-04,   2.34953287e-03,
         4.87439172e-04,   4.52896931e-03,   1.29851596e-03,
         2.42640213e-03,   3.32133321e-03,   3.62775621e-03,
         2.62572687e-03,   4.77323784e-03,   3.39797863e-03,
         1.04922135e-03,   1.55797496e-03,   3.47005461e-03,
         2.47637542e-03,   4.67890374e-03,   3.39269783e-03,
         5.25654222e-04,   3.67543550e-03,   1.92209438e-03,
         4.73943054e-03,   4.28374146e-04,   3.97335165e-03,
         2.83442078e-03,   1.47473308e-03,   3.93481745e-03,
         4.10666181e-03,   3.87870680e-03,   1.02177094e-03,
         1.48636709e-03,   5.44450744e-05,   3.71982487e-03,
         4.04498427e-03,   1.99262719e-05,   3.83584196e-03,
         4.83184621e-03,   1.40701115e-03,   4.73657434e-03,
         4.18593685e-03,   3.57073104e-04,   1.42004993e-03,
         1.37992655e-03,   3.17319169e-03,   4.59544600e-03,
         2.50424048e-03,   6.89758822e-04,   3.69273809e-03,
         3.76216888e-03,   2.19594771e-03,   2.76207924e-03,
         1.15283703e-03,   1.95330138e-03,   6.97394768e-04,
         1.11273179e-03,   1.29150590e-03,   4.17416153e-03,
         1.64337547e-03,   1.86564992e-03,   1.70875936e-03,
         1.19164099e-03,   3.75635217e-03,   1.94834772e-03,
         6.55582822e-05,   3.03278501e-03,   1.51552421e-03,
         2.93237882e-03,   2.26524112e-03,   4.13710032e-03,
         2.31099790e-04,   3.30029134e-03,   7.50942327e-04,
         1.81393089e-03,   3.44230608e-03,   1.40245493e-03,
         1.30931450e-03,   9.25283039e-04,   3.76303699e-03,
         2.19861989e-03,   1.57537340e-03,   3.98623184e-03,
         2.69268443e-03,   4.79698218e-03,   2.43680328e-03,
         2.66939022e-03,   1.75995435e-03,   2.97743386e-03,
         2.72506989e-03,   8.08871692e-04,   2.07347125e-03,
         9.44188519e-04,   3.80118095e-03,   1.54991570e-03,
         2.25977015e-04,   2.87325263e-03,   1.61539429e-03,
         3.02120160e-03,   4.78956340e-03,   3.26788637e-03,
         1.72585147e-03,   1.67967302e-04,   2.48421687e-03,
         7.71687391e-04,   2.34189381e-03,   4.46676277e-03,
         4.56628327e-03,   4.41744899e-03,   7.80706595e-04,
         3.23978614e-04,   3.53036375e-03,   4.94069332e-03,
         6.38287793e-04,   3.07284900e-03,   1.11620316e-03,
         2.41066626e-03,   1.78047735e-03,   4.71040053e-03,
         1.41795613e-03,   2.20325926e-03,   9.61087366e-04,
         4.77013406e-03,   4.87818475e-03,   2.32271564e-03,
         7.79788763e-04,   3.58405603e-03,   4.09378188e-03,
         2.51263013e-03,   4.53461036e-03,   3.96808340e-04,
         8.62345794e-04,   1.56022032e-03,   3.37130847e-03,
         4.63041711e-03,   4.06215499e-03,   4.58354749e-03,
         4.31241430e-03,   7.42140951e-04,   4.87281025e-03,
         3.47247419e-03,   4.77035043e-03,   3.49085651e-03,
         4.79135737e-03,   2.63007712e-04,   1.98328144e-04,
         2.99619812e-03,   2.67115037e-03,   9.75832661e-04,
         4.54937434e-03,   4.86583278e-03,   2.96599067e-03,
         1.14807509e-03,   3.65156391e-03,   1.47454339e-03,
         4.71595232e-03,   1.18102415e-03,   6.54988359e-04,
         2.17129439e-03,   3.54507839e-04,   2.56839735e-03,
         1.95983364e-03,   3.29532041e-03,   1.75542168e-03,
         1.96862591e-03,   7.13261387e-04,   3.23385493e-03,
         1.51859906e-03,   5.02638432e-04,   9.37697445e-04,
         4.74446595e-03,   3.63878595e-03,   8.27422699e-04,
         4.83456391e-03,   4.99705692e-03,   3.25789648e-03,
         2.18782780e-03,   2.66325530e-03,   3.79228569e-03,
         4.67012544e-03,   1.96254965e-03,   1.83656299e-03,
         2.02323813e-03,   3.67951540e-03,   1.92561685e-03,
         4.95436680e-03,   2.01323247e-04,   2.45896274e-03,
         1.54661360e-03,   3.04485161e-03,   3.34812422e-03,
         2.53960840e-03,   2.13808931e-03,   1.41474292e-03,
         3.17816090e-03,   4.90304023e-03,   4.70129959e-03,
         2.78435806e-03,   8.70851553e-04,   2.49009984e-03,
         3.08241481e-03,   4.70592069e-03,   3.62450167e-03,
         4.07488913e-03,   4.69789246e-03,   3.46996906e-03,
         1.55540630e-03,   2.15515039e-03,   4.61217796e-03,
         2.44346414e-03,   3.16728364e-04,   3.71096976e-03,
         9.79461037e-04,   4.19757067e-03,   4.25130813e-03,
         6.21587044e-04,   8.82905678e-04,   4.27258254e-03,
         2.61139113e-04,   1.80398792e-03,   1.21690108e-03,
         2.61452889e-03,   4.77148819e-03,   1.61301521e-03,
         4.95903850e-03,   4.43764300e-03,   2.68661271e-03,
         3.96407907e-03,   9.59007122e-04,   2.31134930e-03,
         9.15473730e-04,   1.67342869e-05,   3.46730327e-03,
         1.65537557e-03,   4.95677064e-04,   4.40454643e-04,
         3.09192261e-03,   4.28379611e-03,   4.41755269e-03,
         2.58626152e-03,   3.49442996e-03,   1.10572190e-03,
         2.53051532e-03,   8.86445855e-05,   4.89635377e-03,
         1.23627797e-03,   2.79988567e-03,   3.09909789e-03,
         3.52609741e-03,   2.34992573e-03,   3.75596995e-03,
         2.35334633e-03,   2.52517644e-03,   3.44805011e-03,
         3.32794243e-03,   3.85977882e-03,   3.29245919e-03,
         4.18383573e-03,   5.50346171e-04,   3.05447288e-03,
         4.55211921e-03,   2.59010531e-03,   1.35847064e-03,
         4.09533529e-04,   4.02400634e-04,   3.66056863e-03,
         3.69322319e-04,   1.71240242e-03,   4.46423917e-03,
         3.72203018e-03,   1.83576816e-03,   1.77653608e-03,
         3.55897425e-03,   1.60275843e-03,   3.53387602e-04,
         3.47314671e-03,   9.83660037e-04,   4.43928175e-03,
         1.95188792e-03,   2.70952706e-03,   3.35315165e-03,
         1.66136403e-03,   1.41576350e-03,   3.75697278e-03,
         1.85973577e-03,   1.32290586e-03,   2.13124248e-03,
         2.69802051e-03,   4.24789178e-03,   1.10951315e-03,
         3.15870726e-03,   9.62796554e-04,   1.14382628e-03,
         1.03299925e-03,   2.40595088e-03,   2.07642055e-03,
         1.72314054e-03,   3.44960360e-03,   3.45077050e-03,
         6.22419930e-04,   3.20078221e-03,   4.03853448e-03,
         4.10063858e-03,   2.56550837e-03,   3.34111939e-03,
         1.12170073e-03,   3.85687266e-03,   1.85218475e-03,
         2.98366192e-03,   3.40097259e-03,   4.30067103e-03,
         7.86887044e-04,   4.53503886e-03,   1.27303533e-03,
         3.16386878e-04,   2.78028725e-03,   6.23506648e-04,
         3.63734539e-03,   8.49276245e-04,   1.97373838e-03,
         2.80141043e-04,   1.30979650e-03,   1.10676211e-03,
         4.89674959e-03,   1.32666275e-03,   2.42753106e-03,
         2.00646818e-03,   4.87726611e-03,   4.16521787e-03,
         3.75876779e-03,   4.91713002e-03,   8.55652921e-04,
         2.09117291e-03,   8.68493246e-04,   1.85667884e-03,
         4.08025982e-03,   2.09215371e-03,   4.92737655e-03,
         3.95320614e-03,   2.41013596e-03,   2.14759797e-03,
         2.71537938e-03,   1.63488528e-03,   4.43324133e-03,
         3.03142650e-03,   4.43703936e-03,   4.60310722e-03,
         4.71537183e-06,   2.72945917e-03,   2.98279410e-03,
         3.47180305e-03,   2.39933596e-04,   4.47051881e-04,
         2.21745675e-04,   1.41979543e-04,   1.39972235e-03,
         1.73341018e-03,   2.03915795e-03,   4.94370055e-04,
         7.33066962e-04,   2.90582417e-03,   5.91603443e-04,
         3.87077299e-03,   4.76543628e-03,   4.35165667e-03,
         4.98755026e-03,   2.17670824e-03,   2.92139911e-03,
         2.83678399e-03,   7.45385378e-04,   2.56335679e-04,
         1.69660784e-03,   2.56742198e-03,   4.01884957e-03,
         1.33241248e-03,   3.26513802e-04,   2.02295331e-03,
         3.62244841e-03,   8.24519807e-04,   2.46767192e-03,
         2.17554923e-04,   3.62573510e-03,   1.96496330e-03,
         1.88622066e-03,   4.04184396e-03,   3.48745333e-03,
         4.76708979e-03,   3.77469743e-03,   3.03959002e-03,
         2.25593764e-03,   3.22964751e-03,   1.79939655e-03,
         4.27336969e-03,   4.12498719e-03,   4.14226001e-04,
         1.35377363e-03,   1.44112615e-03,   3.74401525e-03,
         3.16589393e-03,   4.01358999e-03,   2.86634701e-03,
         4.00692385e-03,   2.04230988e-03,   2.33447126e-03,
         2.63441440e-03,   4.16974603e-03,   2.93438912e-03,
         2.05997272e-03,   3.78538597e-03,   4.28625190e-03,
         2.88148633e-03,   4.61353777e-03,   3.35036422e-03,
         4.55506017e-03,   3.59731382e-03,   4.97807889e-03,
         3.99632005e-03,   8.28129389e-04,   4.11523057e-03,
         2.48460982e-03,   2.69684973e-03,   2.15287257e-03,
         1.66921566e-03,   2.85906687e-03,   1.69012811e-03,
         2.69121622e-03,   2.10245886e-03,   5.65812593e-06,
         4.92272188e-03,   4.32056725e-03,   3.62549918e-03,
         4.96568516e-03,   4.92736797e-03,   2.25505066e-03,
         1.20561253e-04,   1.42628703e-03,   1.56423169e-03,
         4.97532228e-03,   2.57840288e-03,   3.83431891e-03,
         5.57269600e-04,   5.24092348e-04,   3.47578308e-03,
         3.20709154e-03,   2.41621190e-03,   3.13621072e-03,
         2.07212838e-04,   2.67810281e-03,   3.70891662e-03,
         1.32380633e-03,   3.43035979e-03,   1.37763588e-03,
         4.52562570e-03,   2.89850101e-03,   3.48404325e-03,
         4.35651283e-03,   2.91583479e-03,   4.94757677e-03,
         2.79033508e-03,   3.05236845e-03,   3.80604467e-03,
         4.10983625e-03,   5.53497002e-04,   4.18411539e-03,
         3.10098649e-03,   1.84411517e-03,   2.36472533e-03,
         4.84143303e-03,   3.29269911e-03,   3.10671302e-03,
         3.19145898e-03,   3.83094600e-03,   2.41745138e-03,
         2.10038534e-03,   6.41554824e-04,   2.74683759e-03,
         2.39174081e-03,   4.19517618e-03,   4.82274392e-03,
         2.68454842e-03,   1.97348212e-03,   4.64492772e-03,
         1.45067517e-03,   1.96933649e-03,   1.18645420e-03,
         1.68672485e-03,   2.12968119e-03,   2.26562506e-03,
         2.26935476e-03,   2.83769072e-04,   1.36651046e-03,
         1.08309636e-03,   2.52481626e-03,   2.22830106e-03,
         1.90472371e-03,   3.99139924e-03,   3.63801444e-03,
         1.95776347e-03,   2.88265117e-04,   6.40668395e-04,
         3.41648256e-03,   2.34593290e-03,   4.66085365e-03,
         4.43206514e-03,   2.86475464e-03,   2.92191295e-03,
         3.89572587e-03,   1.11536210e-03,   4.35370046e-03,
         3.15060032e-03,   3.55576426e-03,   2.09763271e-03,
         8.14391933e-04,   1.47451485e-03,   1.18942575e-03,
         2.82801731e-03,   2.15575121e-04,   4.84691019e-03,
         2.36269105e-03,   9.93966372e-04,   1.73312931e-03,
         2.45944228e-03,   7.81719231e-04,   2.50903667e-03,
         2.55778213e-03,   1.39713650e-03,   1.38411145e-03,
         3.88458008e-03,   2.11881020e-03,   4.94283489e-03,
         2.89000741e-03,   1.11916308e-03,   2.33700114e-03,
         7.05597152e-04,   3.08593861e-03,   1.02604129e-03,
         3.93441534e-03,   4.72800387e-03,   3.16549716e-03,
         5.56336050e-04,   1.57353966e-03,   3.46804517e-03,
         2.67837228e-03,   2.77953418e-03,   2.55982872e-03,
         6.92783373e-04,   1.14847893e-03,   4.99712489e-03,
         1.83703171e-04,   3.02463187e-03,   5.56273275e-04,
         4.12978400e-03,   4.99916376e-03,   3.11242079e-04,
         1.32567695e-03,   4.11337602e-03,   3.82173874e-03,
         3.48565193e-03,   3.51873285e-03,   4.88974776e-03,
         2.58903874e-03,   2.45499873e-03,   2.92241802e-03,
         5.48975928e-04,   3.29245111e-03,   1.78205573e-03,
         8.07226529e-04,   7.71200869e-04,   3.48837739e-03,
         2.72869636e-03,   4.16924530e-03,   2.52517291e-03,
         2.54807919e-03,   1.87940557e-03,   1.68425083e-03,
         1.22662239e-03,   8.43290746e-04,   1.83566152e-03,
         3.45604467e-03,   3.35472454e-03,   3.66483034e-03,
         4.24232744e-03,   1.27733912e-03,   3.25076798e-03,
         1.10066038e-03,   1.46726962e-03,   3.53990578e-03,
         4.94762947e-03,   4.32009475e-03,   3.95201582e-03,
         3.05197756e-03,   8.31050680e-04,   3.78667825e-03,
         1.51840114e-03,   1.68151462e-03,   2.16257600e-04,
         2.61097053e-03,   4.59192741e-04,   3.59976339e-04,
         4.61621235e-03,   4.26495446e-04,   3.50250987e-03,
         4.07850773e-03,   3.22125530e-03,   1.65974066e-03,
         1.21297102e-03,   3.76874588e-03,   4.96197947e-03,
         4.59433647e-04,   2.38298532e-04,   3.54205891e-03,
         1.75073634e-03,   3.88044792e-03,   9.24963860e-04,
         4.18594130e-03,   3.95194553e-03,   3.83594998e-04,
         3.09194933e-03,   1.98052603e-03,   1.98373191e-03,
         4.45362684e-03,   2.99060940e-03,   1.77164682e-03,
         2.49408869e-04,   7.39724074e-04,   4.14232091e-03,
         4.66684383e-03,   4.67849163e-03,   9.75877024e-05,
         1.21144424e-03,   2.43054370e-03,   4.59010567e-05,
         3.66095545e-03,   3.70527318e-03,   1.17884582e-03,
         2.91967306e-03,   1.57386798e-03,   4.69704696e-03,
         1.58997448e-03,   4.54742600e-03,   3.69636724e-03,
         8.97702325e-04,   8.37133469e-04,   2.37733964e-03,
         4.78620355e-03,   3.24265861e-03,   4.63694206e-03,
         4.31778349e-03,   1.04309798e-03,   2.72558583e-03,
         3.81655866e-03,   4.77359186e-03,   1.60280918e-03,
         1.26359045e-03,   6.94873743e-04,   4.31734437e-03,
         4.00517797e-03,   1.03584553e-03,   1.25336108e-03,
         3.90377447e-04,   4.42093104e-03,   1.82400320e-03,
         8.00883637e-04,   1.05227998e-03,   2.63988009e-03,
         2.31031484e-03,   1.72702457e-03,   2.39107482e-03,
         9.92483249e-05,   1.05031305e-03,   2.41062063e-03,
         1.75872177e-04,   1.59788914e-03,   4.57904948e-03,
         4.10070665e-04,   1.15554554e-03,   1.65992627e-03,
         4.99686812e-03,   8.65367251e-04,   2.45097085e-03,
         2.48215040e-03,   3.28349871e-03,   3.19637953e-04,
         3.46255804e-03,   9.94724233e-04,   2.95617791e-03,
         4.44805166e-03,   9.37207232e-04,   6.60230936e-04,
         3.80971043e-03,   4.64399553e-03,   3.55397183e-03])>
Input  to Hidden Excitatory 2 =  <synapses_1.w: array([  3.60810661e-03,   1.34817612e-03,   2.98984157e-03,
         2.33293719e-03,   9.08783879e-04,   4.05448235e-03,
         4.76064795e-03,   3.36209815e-03,   2.67177743e-03,
         2.58339958e-03,   4.14771874e-03,   4.88282111e-03,
         3.63963686e-03,   1.95400297e-03,   1.73306848e-03,
         4.70946769e-03,   5.95793390e-04,   2.88249416e-03,
         4.58807550e-03,   6.00123282e-04,   3.88412713e-03,
         3.20619947e-03,   1.63294455e-03,   3.98165932e-03,
         6.78524036e-04,   2.58688660e-03,   2.72485987e-03,
         3.35350420e-03,   4.39378589e-03,   1.23985306e-03,
         1.60035041e-03,   3.66861506e-03,   8.27756747e-04,
         3.79633383e-03,   2.13211871e-03,   2.79232024e-03,
         2.03862664e-03,   2.14534607e-03,   1.26408484e-03,
         3.63130134e-04,   3.19118166e-03,   1.81844623e-04,
         1.40665855e-03,   7.48255749e-04,   5.26223622e-05,
         2.15722931e-03,   1.84958393e-03,   8.49914386e-04,
